"","code_village","code_engin","code_pecheur","start_op","end_op","fishing"
"1","KPN","FMCl","0003",2019-04-14 12:37:18,2019-04-14 16:27:18,"active"
"2","KPN","FMCl","0003",2019-04-14 17:47:18,2019-04-15 09:06:18,"active"
"3","KPN","FMCl","0003",2019-04-15 18:02:18,2019-04-15 22:03:18,"active"
"4","KPN","FMCl","0003",2019-04-15 22:52:18,2019-04-16 05:35:18,"active"
"5","KPN","FMCl","0003",2019-04-16 17:45:18,2019-04-17 02:00:18,"active"
"6","KPN","FMCl","0003",2019-05-16 17:03:10,2019-05-16 22:43:10,"active"
"7","KPN","FMCl","0003",2019-06-03 02:41:33,2019-06-03 06:36:33,"active"
"8","KPN","FMCl","0003",2019-08-12 15:10:22,2019-08-12 17:19:22,"active"
"9","KPN","FMCl","0003",2019-08-12 17:56:22,2019-08-13 14:34:22,"active"
"10","KPN","FMCl","0003",2019-09-13 16:06:03,2019-09-14 04:08:03,"active"
"11","KPN","FMCl","0003",2019-09-14 04:11:03,2019-09-14 07:56:03,"active"
"12","KPN","FMCl","0003",2019-09-14 18:19:03,2019-09-14 17:43:03,"active"
"13","KPN","FMCl","0003",2019-09-14 18:45:03,2019-09-14 21:48:03,"active"
"14","KPN","FMCl","0003",2019-09-14 22:21:03,2019-09-15 08:30:03,"active"
"15","KPN","FMCl","0003",2019-09-26 11:24:59,2019-09-26 16:15:59,"active"
"16","KPN","FMCl","0003",2019-09-26 16:50:59,2019-09-27 00:59:59,"active"
"17","KPN","FMCl","0003",2019-09-27 01:22:59,2019-09-27 06:17:59,"active"
"18","KPN","FMCl","0003",2019-09-27 06:36:59,2019-09-27 12:17:59,"active"
"19","KPN","FMCl","0003",2019-09-27 17:27:59,2019-09-27 18:29:59,"active"
"20","KPN","FMCl","0003",2019-09-27 18:43:59,2019-09-27 23:59:59,"active"
"21","KPN","FMCl","0003",2020-03-21 17:35:02,2020-03-21 19:30:02,"active"
"22","KPN","FMCl","0003",2020-03-26 09:01:58,2020-03-26 10:45:58,"active"
